Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus,
17-05-2024,00:00:00,17-05-2024,00:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,,kWh,Geen verbruik,
17-05-2024,00:00:00,17-05-2024,00:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,,kWh,Geen verbruik,
17-05-2024,00:15:00,17-05-2024,00:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,28,kWh,Gevalideerd
17-05-2024,00:15:00,17-05-2024,00:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,00:30:00,17-05-2024,00:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,29,kWh,Gevalideerd
17-05-2024,00:30:00,17-05-2024,00:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,00:45:00,17-05-2024,01:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,26,kWh,Gevalideerd
17-05-2024,00:45:00,17-05-2024,01:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,01:00:00,17-05-2024,01:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,19,kWh,Gevalideerd
17-05-2024,01:00:00,17-05-2024,01:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,01:15:00,17-05-2024,01:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,20,kWh,Gevalideerd
17-05-2024,01:15:00,17-05-2024,01:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,01:30:00,17-05-2024,01:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,24,kWh,Gevalideerd
17-05-2024,01:30:00,17-05-2024,01:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,01:45:00,17-05-2024,02:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,29,kWh,Gevalideerd
17-05-2024,01:45:00,17-05-2024,02:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,02:00:00,17-05-2024,02:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,28,kWh,Gevalideerd
17-05-2024,02:00:00,17-05-2024,02:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,02:15:00,17-05-2024,02:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,24,kWh,Gevalideerd
17-05-2024,02:15:00,17-05-2024,02:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,02:30:00,17-05-2024,02:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,19,kWh,Gevalideerd
17-05-2024,02:30:00,17-05-2024,02:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,02:45:00,17-05-2024,03:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,20,kWh,Gevalideerd
17-05-2024,02:45:00,17-05-2024,03:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,03:00:00,17-05-2024,03:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,25,kWh,Gevalideerd
17-05-2024,03:00:00,17-05-2024,03:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,03:15:00,17-05-2024,03:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,29,kWh,Gevalideerd
17-05-2024,03:15:00,17-05-2024,03:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,03:30:00,17-05-2024,03:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,28,kWh,Gevalideerd
17-05-2024,03:30:00,17-05-2024,03:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,03:45:00,17-05-2024,04:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,22,kWh,Gevalideerd
17-05-2024,03:45:00,17-05-2024,04:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,04:00:00,17-05-2024,04:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,19,kWh,Gevalideerd
17-05-2024,04:00:00,17-05-2024,04:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,04:15:00,17-05-2024,04:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,19,kWh,Gevalideerd
17-05-2024,04:15:00,17-05-2024,04:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,04:30:00,17-05-2024,04:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,27,kWh,Gevalideerd
17-05-2024,04:30:00,17-05-2024,04:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,04:45:00,17-05-2024,05:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,28,kWh,Gevalideerd
17-05-2024,04:45:00,17-05-2024,05:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,05:00:00,17-05-2024,05:15:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,29,kWh,Gevalideerd
17-05-2024,05:00:00,17-05-2024,05:15:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,05:15:00,17-05-2024,05:30:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,19,kWh,Gevalideerd
17-05-2024,05:15:00,17-05-2024,05:30:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,05:30:00,17-05-2024,05:45:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,20,kWh,Gevalideerd
17-05-2024,05:30:00,17-05-2024,05:45:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,05:45:00,17-05-2024,06:00:00,1SAG1100366406,Digitale Meter,Afname Nacht,0,20,kWh,Gevalideerd
17-05-2024,05:45:00,17-05-2024,06:00:00,1SAG1100366406,Digitale Meter,Injectie Nacht,0,0,kWh,Gevalideerd
17-05-2024,06:00:00,17-05-2024,06:15:00,1SAG1100366406,Digitale Meter,Afname Dag,0,28,kWh,Gevalideerd
17-05-2024,06:00:00,17-05-2024,06:15:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,06:15:00,17-05-2024,06:30:00,1SAG1100366406,Digitale Meter,Afname Dag,0,28,kWh,Gevalideerd
17-05-2024,06:15:00,17-05-2024,06:30:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,06:30:00,17-05-2024,06:45:00,1SAG1100366406,Digitale Meter,Afname Dag,0,25,kWh,Gevalideerd
17-05-2024,06:30:00,17-05-2024,06:45:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,06:45:00,17-05-2024,07:00:00,1SAG1100366406,Digitale Meter,Afname Dag,0,19,kWh,Gevalideerd
17-05-2024,06:45:00,17-05-2024,07:00:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,07:00:00,17-05-2024,07:15:00,1SAG1100366406,Digitale Meter,Afname Dag,0,20,kWh,Gevalideerd
17-05-2024,07:00:00,17-05-2024,07:15:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,07:15:00,17-05-2024,07:30:00,1SAG1100366406,Digitale Meter,Afname Dag,0,22,kWh,Gevalideerd
17-05-2024,07:15:00,17-05-2024,07:30:00,1SAG1100366406,Digitale Meter,Injectie Dag,0,0,kWh,Gevalideerd
17-05-2024,07:30:00,17-05-2024,07:45:00,1SAG1100366406,Digitale Meter,Afname Dag,0,28,kWh,Gevalideerd
